cell,binary,pair,pos,method,payload_bytes,messages,vus,cores,exit,iterations,achieved_per_s,wall_s,task_clock_ms,cycles,instructions,ctx_switches,cpu_migrations,cache_misses
unary-small,base,0,warmup,UnaryEcho,192,1,16,0-7,0,680238.0,68023.8,10.024,50917.72,142181224463,93419303999,0,0,9652562790
unary-small,cand,0,warmup,UnaryEcho,192,1,16,0-7,0,682866.0,68286.6,10.014,52687.16,145855569875,93121139557,0,0,9602660104
unary-small,base,1,1,UnaryEcho,192,1,16,0-7,0,675758.0,67575.8,10.014,49406.97,137330317340,92744528318,0,0,9323249101
unary-small,cand,1,2,UnaryEcho,192,1,16,0-7,0,677570.0,67757.0,10.014,49160.52,135537299755,92264835216,0,0,9344573543
unary-small,cand,2,1,UnaryEcho,192,1,16,0-7,0,727251.0,72725.1,10.014,57888.39,161725528205,99143117716,0,0,10268321905
unary-small,base,2,2,UnaryEcho,192,1,16,0-7,0,706146.0,70614.6,10.014,55079.65,153618584253,97196444592,0,0,10085031569
unary-small,base,3,1,UnaryEcho,192,1,16,0-7,0,715915.0,71591.5,10.014,57001.57,159358472373,98571885881,0,0,10438619294
unary-small,cand,3,2,UnaryEcho,192,1,16,0-7,0,677865.0,67786.5,10.014,51320.77,141904450526,92431233506,0,0,9384429693
unary-small,cand,4,1,UnaryEcho,192,1,16,0-7,0,694264.0,69426.4,10.013,53626.59,148244862143,94746072424,0,0,9910849327
unary-small,base,4,2,UnaryEcho,192,1,16,0-7,0,692824.0,69282.4,10.014,53540.15,148838469349,95366880266,0,0,9847646620
unary-small,base,5,1,UnaryEcho,192,1,16,0-7,0,683403.0,68340.3,10.013,51834.12,144173081421,93877814066,0,0,9705682156
unary-small,cand,5,2,UnaryEcho,192,1,16,0-7,0,704626.0,70462.6,10.014,55905.84,153939490817,96321105235,0,0,10070805719
unary-medium,base,0,warmup,UnaryEcho,2000,1,16,0-7,0,520932.0,52093.2,10.013,50474.94,140514023347,169610700933,0,0,7850127619
unary-medium,cand,0,warmup,UnaryEcho,2000,1,16,0-7,0,556525.0,55652.5,10.013,59294.41,165270168428,180754261127,0,0,8529115503
unary-medium,base,1,1,UnaryEcho,2000,1,16,0-7,0,547516.0,54751.6,10.014,57918.24,161501917376,178464060770,0,0,8519094419
unary-medium,cand,1,2,UnaryEcho,2000,1,16,0-7,0,531718.0,53171.8,10.013,53354.68,148429005701,172448749459,0,0,7945570996
unary-medium,cand,2,1,UnaryEcho,2000,1,16,0-7,0,544266.0,54426.6,10.013,55410.70,154313194097,176460173736,0,0,8227378951
unary-medium,base,2,2,UnaryEcho,2000,1,16,0-7,0,548683.0,54868.3,10.013,57580.84,160953572898,178787702770,0,0,8356311192
unary-medium,base,3,1,UnaryEcho,2000,1,16,0-7,0,543314.0,54331.4,10.014,56982.32,158000766871,177052720370,0,0,8442291575
unary-medium,cand,3,2,UnaryEcho,2000,1,16,0-7,0,553065.0,55306.5,10.014,58287.82,163012991844,179560395793,0,0,8282537307
unary-medium,cand,4,1,UnaryEcho,2000,1,16,0-7,0,569054.0,56905.4,10.013,61502.12,171172929612,184804764049,0,0,8618944980
unary-medium,base,4,2,UnaryEcho,2000,1,16,0-7,0,541872.0,54187.2,10.013,54612.62,152126902677,176476250716,0,0,8153969799
unary-medium,base,5,1,UnaryEcho,2000,1,16,0-7,0,545935.0,54593.5,10.014,56106.63,156055018934,177931099667,0,0,8317245976
unary-medium,cand,5,2,UnaryEcho,2000,1,16,0-7,0,540090.0,54009.0,10.014,55408.96,155109443311,175204776728,0,0,8030937796
unary-large,base,0,warmup,UnaryEcho,64000,1,16,0-7,0,88193.0,8819.3,10.015,56488.16,207753207848,580001186052,0,0,2113356934
unary-large,cand,0,warmup,UnaryEcho,64000,1,16,0-7,0,94609.0,9460.9,10.015,61615.82,226210153718,622100525175,0,0,2233293761
unary-large,base,1,1,UnaryEcho,64000,1,16,0-7,0,97210.0,9721.0,10.015,62974.96,231684640024,639389055380,0,0,2346090594
unary-large,cand,1,2,UnaryEcho,64000,1,16,0-7,0,102885.0,10288.5,10.015,66833.41,245764547775,676397369139,0,0,2451813940
unary-large,cand,2,1,UnaryEcho,64000,1,16,0-7,0,111188.0,11118.8,10.015,74128.66,268976717861,730997578094,0,0,2735018399
unary-large,base,2,2,UnaryEcho,64000,1,16,0-7,0,107366.0,10736.6,10.015,70600.23,258479164224,706033219953,0,0,2629689792
unary-large,base,3,1,UnaryEcho,64000,1,16,0-7,0,115331.0,11533.1,10.015,76007.87,278318449261,758431532325,0,0,2848465950
unary-large,cand,3,2,UnaryEcho,64000,1,16,0-7,0,111519.0,11151.9,10.015,73422.51,269353511395,733291251322,0,0,2693177130
unary-large,cand,4,1,UnaryEcho,64000,1,16,0-7,0,103151.0,10315.1,10.015,68642.29,249259852773,678192617691,0,0,2501810146
unary-large,base,4,2,UnaryEcho,64000,1,16,0-7,0,88816.0,8881.6,10.015,56219.48,208213306539,584038217588,0,0,2089322367
unary-large,base,5,1,UnaryEcho,64000,1,16,0-7,0,108231.0,10823.1,10.015,72393.05,262000640296,711728685334,0,0,2698995915
unary-large,cand,5,2,UnaryEcho,64000,1,16,0-7,0,91404.0,9140.4,10.015,58873.09,216608610523,601019519638,0,0,2155942498
stream-medium,base,0,warmup,ClientStreamEcho,2000,5,16,0-7,0,372949.0,37294.9,10.014,69116.91,220597577698,393679490144,0,0,6549999074
stream-medium,cand,0,warmup,ClientStreamEcho,2000,5,16,0-7,0,380436.0,38043.6,10.014,70852.97,225485125125,399131757286,0,0,6509580706
stream-medium,base,1,1,ClientStreamEcho,2000,5,16,0-7,0,374708.0,37470.8,10.014,69333.91,221558223752,395494867188,0,0,6501723807
stream-medium,cand,1,2,ClientStreamEcho,2000,5,16,0-7,0,381008.0,38100.8,10.014,70979.61,225382788746,399857130689,0,0,6610558684
stream-medium,cand,2,1,ClientStreamEcho,2000,5,16,0-7,0,350137.0,35013.7,10.014,59873.57,193217962301,367249043510,0,0,5772860416
stream-medium,base,2,2,ClientStreamEcho,2000,5,16,0-7,0,375375.0,37537.5,10.014,69607.53,222407365190,396141352604,0,0,6512758420
stream-medium,base,3,1,ClientStreamEcho,2000,5,16,0-7,0,375080.0,37508.0,10.014,69733.40,222492027410,396020819357,0,0,6538034592
stream-medium,cand,3,2,ClientStreamEcho,2000,5,16,0-7,0,372671.0,37267.1,10.014,68661.94,219030998784,390991158147,0,0,6375181652
stream-medium,cand,4,1,ClientStreamEcho,2000,5,16,0-7,0,379354.0,37935.4,10.014,70021.33,222560870173,397891940295,0,0,6555435947
stream-medium,base,4,2,ClientStreamEcho,2000,5,16,0-7,0,353372.0,35337.2,10.013,61388.63,197859556917,372883292622,0,0,6018753136
stream-medium,base,5,1,ClientStreamEcho,2000,5,16,0-7,0,344787.0,34478.7,10.015,59196.92,192565386482,363682598228,0,0,5808953393
stream-medium,cand,5,2,ClientStreamEcho,2000,5,16,0-7,0,358190.0,35819.0,10.014,63105.44,202848992936,375703975631,0,0,6025322427
